business_name,dba_name,building,street,city,state,zip,swc_type,swc_sq_ft,swc_tables,swc_chairs,latitude,longitude,community_district,city_council_district
"LULA ENTERPRISES, LLC",HAMILTONS,2826,FORT HAMILTON PKWY,BROOKLYN,NY,11218,Unenclosed,523,30,64,40.64857895511727,-73.97708064267015,307,39
NACO NYC LLC,EL GTORO BLANCO,10,DOWNING ST,MANHATTAN ,NY,10014,Unenclosed,496,29,58,40.72922529018718,-74.00283230643694,102,3
KISMAT INDIAN RESTAURANT INC,KISMAT,603,FORT WASHINGTON AVE,MANHATTAN ,NY,10040,Unenclosed,432,28,56,40.85549593661597,-73.9371010222485,112,10
10 DOWNING RESTAURANT LLC,10 DOWNING,10,DOWNING ST,MANHATTAN ,NY,10014,Unenclosed,410,28,59,40.72922529018718,-74.00283230643694,102,3
Luna Cafe Inc,LUNA CAFE,601,E 187TH ST,BRONX,NY,10458,Unenclosed,509,28,56,40.8555788479635,-73.88734560011022,206,15
RENAISSANCE HARLEM CORP,RENAISSANCE HARLEM,2245,ADAM CLAYTON POWELL JR BLVD,MANHATTAN ,NY,10027,Unenclosed,534,27,58,40.81333563975835,-73.9448573692182,110,9
"35-01 36TH STREET REST., INC.",TACUBA,3501,36TH ST,ASTORIA,NY,11106,Unenclosed,604,27,57,40.75601965913187,-73.92468086708307,401,26
INTERNATIONAL HOSPITALITY CONCEPTS LLC,LA LOTERIA,29,7TH AVE S,MANHATTAN ,NY,10014,Unenclosed,441,27,54,40.730932485075265,-74.00423233193224,102,3
TGD GROUP INC.,BOTTEGA,233,E 70TH ST,MANHATTAN ,NY,10021,Unenclosed,456,27,58,40.767793042726915,-73.95991319182312,108,4
WEST 62 OPERATING LLC,ROSA MEXICANA,61,COLUMBUS AVE,MANHATTAN ,NY,10023,Unenclosed,510,26,50,40.77109520483743,-73.98306768306081,107,3
"MILO CAFE, CORP.",TRU ASTORIA,3519,DITMARS BLVD,ASTORIA,NY,11105,Unenclosed,745,26,54,40.77461996174521,-73.90839455005818,401,22
GMT MANHATTAN  LLC,GMT TAVERN,142,BLEECKER ST,MANHATTAN ,NY,10012,Unenclosed,593,26,55,40.72793254204153,-73.99917738427997,102,1
"112 FRENCH, INC.",LE MONDE,2883,BROADWAY,MANHATTAN ,NY,10025,Unenclosed,741,26,88,40.80580126923297,-73.96584679403645,109,7
ABG STANDARD OPERATOR LLC,THE STANDARD MANHATTAN ,848,WASHINGTON ST,MANHATTAN ,NY,10014,Unenclosed,850,26,84,40.74081066593433,-74.00779109923984,102,3
"YO-BURGER, INC.",YO-BURGER,3720,RIVERDALE AVE,BRONX,NY,10463,Unenclosed,419,26,52,40.887311274072026,-73.90694451769764,208,11
Hane Sushi Inc.,HANE SUSHI,346,1ST AVE,MANHATTAN ,NY,10009,Unenclosed,602,26,52,40.73487474979809,-73.97840408736438,106,4
"BIZET, LLC",5 NAPKIN BURGER,150,E 14TH ST,MANHATTAN ,NY,10003,Unenclosed/Small Unenclosed,673,25,64,40.73322379056025,-73.98783658859324,103,2
EAE CORP.,SIDEWALK BAR & RESTAURANT,94,AVENUE A,MANHATTAN ,NY,10009,Unenclosed,482,25,52,40.725480332200945,-73.9837611529228,103,2
HERSHA HOSPITALITY MANAGEMENT L.P.,NU HOTEL,85,SMITH ST,BROOKLYN,NY,11201,Unenclosed,416,25,52,40.68879716799623,-73.98883269464103,302,33
STARBUCKS CORPORATION,STARBUCKS COFFEE COMPANY,454,LAFAYETTE ST,MANHATTAN ,NY,10003,Enclosed,947,25,77,40.73012254869637,-73.99153183092623,102,2
MANHATTAN  BURGER 10th AVE INC.,MANHATTAN  BURGER CO,470,W 23RD ST,MANHATTAN ,NY,10011,Enclosed,762,25,54,40.74737356844264,-74.00366315180842,104,3
"567 HUDSON STREET, INC.",WHITE HORSE TAVERN,567,HUDSON ST,MANHATTAN ,NY,10014,Unenclosed,728,24,72,40.73567808186896,-74.00608734227491,102,3
EAST PUB INC,PHEBE'S,359,BOWERY,MANHATTAN ,NY,10003,Enclosed,808,24,96,40.726828835423774,-73.99144926767471,103,2
DANA'S LLC,MARSEILLE,630,9TH AVE,MANHATTAN ,NY,10036,Unenclosed,565,24,46,40.759914044317604,-73.99130785190782,104,3
"JEC II, LLC",BAGATELLE,1,LITTLE WEST 12TH ST,MANHATTAN ,NY,10014,Unenclosed,655,24,58,40.73965249116671,-74.00593975285888,102,3
115 RESTAURANT CORP,ROW HOUSE,2128,FREDERICK DOUGLASS BLVD,MANHATTAN ,NY,10026,Unenclosed,515,24,47,40.803527961371614,-73.95578475693384,110,9
LENOX SAPHIRE LLC,LENOX PUBLIC,308,LENOX AVE,MANHATTAN ,NY,10027,Unenclosed,337,24,49,40.807961576374154,-73.94507494737887,110,9
RENOLTA LLC,NICE- MATIN,201,W 79TH ST,MANHATTAN ,NY,10024,Unenclosed,820,24,68,40.78351163325354,-73.97850747454505,107,6
51 KENT CAFE INC.,KENT ALE HOUSE,51,KENT AVE,BROOKLYN,NY,11249,Unenclosed,437,24,50,40.722326061374815,-73.95934166846052,301,33
